RouteID,CustomerId,StopSequence,ETA,ETD
8f10a4a1-6ab9-48e3-97d6-53f51d0e9fc0,21261,1,14:58:00,15:58:00
8f10a4a1-6ab9-48e3-97d6-53f51d0e9fc0,21256,1,16:00:00,17:00:00
571e54e7-74a5-46df-8eab-55669b0964f9,21360,1,07:28:00,08:28:00
571e54e7-74a5-46df-8eab-55669b0964f9,21365,1,08:29:00,09:29:00
571e54e7-74a5-46df-8eab-55669b0964f9,21312,1,09:39:00,10:39:00
571e54e7-74a5-46df-8eab-55669b0964f9,21375,1,10:48:00,11:48:00
571e54e7-74a5-46df-8eab-55669b0964f9,21358,1,11:48:00,12:48:00
571e54e7-74a5-46df-8eab-55669b0964f9,21370,1,12:55:00,13:55:00
571e54e7-74a5-46df-8eab-55669b0964f9,21320,1,13:56:00,14:56:00
571e54e7-74a5-46df-8eab-55669b0964f9,21357,1,14:56:00,15:56:00
571e54e7-74a5-46df-8eab-55669b0964f9,21367,1,16:00:00,17:00:00
6cf6b10e-0949-4505-918d-a9d1a1a9905e,21383,1,08:15:00,09:15:00
6cf6b10e-0949-4505-918d-a9d1a1a9905e,21345,1,09:24:00,10:24:00
6cf6b10e-0949-4505-918d-a9d1a1a9905e,21306,1,10:38:00,11:38:00
6cf6b10e-0949-4505-918d-a9d1a1a9905e,21364,1,11:41:00,12:41:00
6cf6b10e-0949-4505-918d-a9d1a1a9905e,21322,1,12:46:00,13:46:00
6cf6b10e-0949-4505-918d-a9d1a1a9905e,21326,1,13:55:00,14:55:00
6cf6b10e-0949-4505-918d-a9d1a1a9905e,21333,1,14:55:00,15:55:00
6cf6b10e-0949-4505-918d-a9d1a1a9905e,21315,1,16:00:00,17:00:00
58b181af-e994-4725-95b0-f2063680a5e2,21325,1,08:40:00,09:40:00
58b181af-e994-4725-95b0-f2063680a5e2,21376,1,09:40:00,10:40:00
58b181af-e994-4725-95b0-f2063680a5e2,21372,1,10:42:00,11:42:00
58b181af-e994-4725-95b0-f2063680a5e2,21304,1,11:42:00,12:42:00
58b181af-e994-4725-95b0-f2063680a5e2,21335,1,12:46:00,13:46:00
58b181af-e994-4725-95b0-f2063680a5e2,21323,1,13:49:00,14:49:00
58b181af-e994-4725-95b0-f2063680a5e2,21324,1,14:58:00,15:58:00
58b181af-e994-4725-95b0-f2063680a5e2,21382,1,16:00:00,17:00:00
c763ce84-9582-47f3-a883-172f7773f4f4,21420,1,07:15:00,08:15:00
c763ce84-9582-47f3-a883-172f7773f4f4,21347,1,08:39:00,09:39:00
c763ce84-9582-47f3-a883-172f7773f4f4,21301,1,09:41:00,10:41:00
